Best: -3.6697846883942122 using {'dropout_rate': 0.7, 'batch_size': 64, 'nb_hidden_layers': 2, 'nb_hidden_neurons': 40, 'learning_rate': 0.01}
-3.772179 (0.660001) with: {'dropout_rate': 0.5, 'batch_size': 64, 'nb_hidden_layers': 1, 'nb_hidden_neurons': 40, 'learning_rate': 0.01}
-3.703710 (0.636410) with: {'dropout_rate': 0.5, 'batch_size': 64, 'nb_hidden_layers': 1, 'nb_hidden_neurons': 50, 'learning_rate': 0.01}
-3.765872 (0.681140) with: {'dropout_rate': 0.5, 'batch_size': 64, 'nb_hidden_layers': 2, 'nb_hidden_neurons': 40, 'learning_rate': 0.01}
-3.843049 (0.720726) with: {'dropout_rate': 0.5, 'batch_size': 64, 'nb_hidden_layers': 2, 'nb_hidden_neurons': 50, 'learning_rate': 0.01}
-3.774593 (0.669586) with: {'dropout_rate': 0.5, 'batch_size': 64, 'nb_hidden_layers': 1, 'nb_hidden_neurons': 40, 'learning_rate': 0.1}
-3.815235 (0.714478) with: {'dropout_rate': 0.5, 'batch_size': 64, 'nb_hidden_layers': 1, 'nb_hidden_neurons': 50, 'learning_rate': 0.1}
-3.857867 (0.761072) with: {'dropout_rate': 0.5, 'batch_size': 64, 'nb_hidden_layers': 2, 'nb_hidden_neurons': 40, 'learning_rate': 0.1}
-3.834354 (0.728541) with: {'dropout_rate': 0.5, 'batch_size': 64, 'nb_hidden_layers': 2, 'nb_hidden_neurons': 50, 'learning_rate': 0.1}
-3.764886 (0.620033) with: {'dropout_rate': 0.7, 'batch_size': 64, 'nb_hidden_layers': 1, 'nb_hidden_neurons': 40, 'learning_rate': 0.01}
-3.745264 (0.637378) with: {'dropout_rate': 0.7, 'batch_size': 64, 'nb_hidden_layers': 1, 'nb_hidden_neurons': 50, 'learning_rate': 0.01}
-3.669785 (0.609082) with: {'dropout_rate': 0.7, 'batch_size': 64, 'nb_hidden_layers': 2, 'nb_hidden_neurons': 40, 'learning_rate': 0.01}
-3.765700 (0.653287) with: {'dropout_rate': 0.7, 'batch_size': 64, 'nb_hidden_layers': 2, 'nb_hidden_neurons': 50, 'learning_rate': 0.01}
-3.688700 (0.610735) with: {'dropout_rate': 0.7, 'batch_size': 64, 'nb_hidden_layers': 1, 'nb_hidden_neurons': 40, 'learning_rate': 0.1}
-3.764173 (0.651067) with: {'dropout_rate': 0.7, 'batch_size': 64, 'nb_hidden_layers': 1, 'nb_hidden_neurons': 50, 'learning_rate': 0.1}
-3.698797 (0.607568) with: {'dropout_rate': 0.7, 'batch_size': 64, 'nb_hidden_layers': 2, 'nb_hidden_neurons': 40, 'learning_rate': 0.1}
-3.742386 (0.640461) with: {'dropout_rate': 0.7, 'batch_size': 64, 'nb_hidden_layers': 2, 'nb_hidden_neurons': 50, 'learning_rate': 0.1}


Best: -3.6564313015093455 using {'nb_hidden_neurons': 40, 'learning_rate': 0.1, 'dropout_rate': 0.7, 'nb_hidden_layers': 1, 'batch_size': 128}
-3.711007 (0.617810) with: {'nb_hidden_neurons': 40, 'learning_rate': 0.01, 'dropout_rate': 0.5, 'nb_hidden_layers': 1, 'batch_size': 128}
-3.702631 (0.596075) with: {'nb_hidden_neurons': 50, 'learning_rate': 0.01, 'dropout_rate': 0.5, 'nb_hidden_layers': 1, 'batch_size': 128}
-3.689618 (0.617652) with: {'nb_hidden_neurons': 40, 'learning_rate': 0.01, 'dropout_rate': 0.5, 'nb_hidden_layers': 2, 'batch_size': 128}
-3.829716 (0.690174) with: {'nb_hidden_neurons': 50, 'learning_rate': 0.01, 'dropout_rate': 0.5, 'nb_hidden_layers': 2, 'batch_size': 128}
-3.720047 (0.599575) with: {'nb_hidden_neurons': 40, 'learning_rate': 0.1, 'dropout_rate': 0.5, 'nb_hidden_layers': 1, 'batch_size': 128}
-3.731105 (0.644760) with: {'nb_hidden_neurons': 50, 'learning_rate': 0.1, 'dropout_rate': 0.5, 'nb_hidden_layers': 1, 'batch_size': 128}
-3.737317 (0.647393) with: {'nb_hidden_neurons': 40, 'learning_rate': 0.1, 'dropout_rate': 0.5, 'nb_hidden_layers': 2, 'batch_size': 128}
-3.717339 (0.636765) with: {'nb_hidden_neurons': 50, 'learning_rate': 0.1, 'dropout_rate': 0.5, 'nb_hidden_layers': 2, 'batch_size': 128}
-3.677182 (0.570812) with: {'nb_hidden_neurons': 40, 'learning_rate': 0.01, 'dropout_rate': 0.7, 'nb_hidden_layers': 1, 'batch_size': 128}
-3.661768 (0.595252) with: {'nb_hidden_neurons': 50, 'learning_rate': 0.01, 'dropout_rate': 0.7, 'nb_hidden_layers': 1, 'batch_size': 128}
-3.667230 (0.589406) with: {'nb_hidden_neurons': 40, 'learning_rate': 0.01, 'dropout_rate': 0.7, 'nb_hidden_layers': 2, 'batch_size': 128}
-3.697308 (0.597076) with: {'nb_hidden_neurons': 50, 'learning_rate': 0.01, 'dropout_rate': 0.7, 'nb_hidden_layers': 2, 'batch_size': 128}
-3.656431 (0.557944) with: {'nb_hidden_neurons': 40, 'learning_rate': 0.1, 'dropout_rate': 0.7, 'nb_hidden_layers': 1, 'batch_size': 128}
-3.699139 (0.608325) with: {'nb_hidden_neurons': 50, 'learning_rate': 0.1, 'dropout_rate': 0.7, 'nb_hidden_layers': 1, 'batch_size': 128}
-3.687536 (0.596472) with: {'nb_hidden_neurons': 40, 'learning_rate': 0.1, 'dropout_rate': 0.7, 'nb_hidden_layers': 2, 'batch_size': 128}
-3.728966 (0.624987) with: {'nb_hidden_neurons': 50, 'learning_rate': 0.1, 'dropout_rate': 0.7, 'nb_hidden_layers': 2, 'batch_size': 128}








