# #pres-data,#real-data
30.74,0.00
30.12,0.00
25.97,0.00
67.98,0.00
78.90,0.00
85.31,0.00
66.20,0.00
52.18,0.00
63.85,188.67
60.30,0.00
33.09,0.00
4.75,0.00
1.22,188.67
1.98,0.00
1.92,0.00
0.88,0.00
0.25,94.33
0.58,188.67
1.78,0.00
4.56,0.00
10.58,0.00
12.43,0.00
12.06,0.00
3.58,0.00
1.01,94.33
0.87,0.00
1.18,0.00
5.05,0.00
18.45,0.00
24.71,0.00
19.86,0.00
28.21,0.00
15.11,0.00
25.58,0.00
30.29,0.00
20.32,0.00
21.29,0.00
27.26,0.00
19.20,0.00
9.13,0.00
1.28,0.00
2.17,0.00
1.19,0.00
1.71,0.00
1.08,0.00
7.82,0.00
8.99,0.00
3.14,0.00
0.78,0.00
0.46,0.00
0.40,0.00
0.87,0.00
2.06,0.00
6.65,0.00
6.65,0.00
7.48,0.00
10.54,0.00
12.90,0.00
8.61,0.00
1.71,0.00
0.32,0.00
0.10,0.00
0.08,0.00
0.63,0.00
1.79,0.00
4.00,0.00
2.74,0.00
1.89,0.00
3.76,0.00
4.73,0.00
2.38,0.00
0.48,0.00
0.16,0.00
0.15,0.00
0.21,0.00
0.40,0.00
0.72,0.00
1.35,0.00
1.69,0.00
2.63,0.00
4.78,0.00
4.80,0.00
2.64,0.00
0.73,0.00
0.21,0.00
0.14,0.00
0.22,0.00
0.37,0.00
0.64,0.00
1.24,0.00
1.83,0.00
2.86,0.00
5.21,0.00
4.70,0.00
2.24,0.00
0.62,0.00
0.20,0.00
0.15,0.00
0.24,0.00
0.26,0.00
0.35,0.00
0.56,94.33
0.78,0.00
1.46,0.00
3.55,0.00
4.12,0.00
2.82,0.00
0.92,0.00
0.41,0.00
0.23,0.00
0.22,0.00
0.25,0.00
0.28,0.00
0.40,0.00
0.85,0.00
1.60,0.00
2.00,0.00
2.35,0.00
1.30,0.00
0.53,0.00
0.31,0.00
0.40,0.00
0.60,0.00
1.83,0.00
20.04,0.00
13.94,0.00
5.61,0.00
3.30,0.00
6.14,0.00
36.53,0.00
51.86,0.00
48.14,0.00
33.61,0.00
28.80,188.67
37.47,188.67
25.16,0.00
25.89,94.33
32.55,0.00
30.09,0.00
29.43,94.33
30.14,0.00
33.93,0.00
31.47,0.00
52.41,0.00
52.15,94.33
43.31,0.00
32.62,0.00
29.66,0.00
27.30,0.00
25.55,94.33
24.67,0.00
21.78,94.33
17.63,94.33
16.82,0.00
20.43,0.00
30.75,0.00
33.59,0.00
34.78,0.00
39.34,0.00
41.94,0.00
39.30,0.00
24.97,0.00
4.14,0.00
9.56,0.00
21.63,0.00
31.02,0.00
33.40,0.00
27.19,0.00
24.89,0.00
26.12,94.33
23.95,0.00
22.26,0.00
20.91,0.00
24.10,0.00
25.69,0.00
3.76,0.00
1.51,0.00
1.77,94.33
2.92,0.00
3.04,0.00
1.64,0.00
1.07,0.00
1.94,0.00
4.09,188.67
10.27,0.00
6.39,0.00
8.98,0.00
22.36,0.00
50.69,94.33
30.20,0.00
11.87,94.33
6.61,94.33
11.73,94.33
18.73,0.00
24.26,0.00
25.72,0.00
21.87,0.00
19.43,0.00
23.24,0.00
19.40,94.33
17.48,0.00
8.92,0.00
5.38,0.00
3.00,0.00
3.23,0.00
4.99,0.00
6.87,0.00
4.77,0.00
2.43,0.00
4.80,0.00
8.67,0.00
5.40,94.33
6.45,0.00
9.33,0.00
14.77,0.00
26.17,0.00
22.29,94.33
14.95,0.00
12.91,0.00
2.86,94.33
1.21,0.00
0.85,0.00
0.87,0.00
1.13,0.00
1.39,0.00
1.30,0.00
0.82,0.00
0.60,0.00
0.54,0.00
0.70,0.00
0.58,188.67
12.97,94.33
32.39,283.00
31.67,94.33
34.23,0.00
26.92,0.00
34.12,0.00
66.52,94.33
57.73,0.00
70.73,0.00
67.63,94.33
66.72,0.00
62.15,0.00
61.41,94.33
53.71,0.00
57.41,0.00
64.33,0.00
62.48,94.33
47.98,0.00
53.60,188.67
50.73,188.67
44.26,94.33
45.26,0.00
50.35,0.00
57.40,94.33
58.31,0.00
76.00,0.00
67.52,94.33
63.14,0.00
64.35,188.67
63.44,0.00
57.69,0.00
57.30,0.00
55.52,0.00
46.67,188.67
13.45,0.00
4.41,0.00
2.07,0.00
5.70,94.33
18.05,0.00
16.96,0.00
35.49,188.67
29.64,283.00
41.87,188.67
47.98,0.00
54.30,94.33
57.21,283.00
38.61,0.00
33.91,0.00
44.29,94.33
37.82,0.00
29.32,188.67
60.01,0.00
45.63,94.33
43.59,0.00
43.54,0.00
52.94,0.00
37.35,0.00
44.89,0.00
42.73,0.00
42.55,0.00
39.24,0.00
3.70,0.00
10.55,0.00
11.45,0.00
4.87,0.00
19.10,0.00
36.13,0.00
3.53,0.00
2.94,0.00
8.39,0.00
14.56,0.00
13.07,0.00
6.64,0.00
5.25,0.00
1.10,0.00
1.70,0.00
3.22,0.00
7.14,0.00
5.83,0.00
2.63,0.00
8.44,0.00
0.19,0.00
2.84,0.00
5.68,0.00
1.06,0.00
13.54,0.00
6.78,0.00
7.83,0.00
10.12,0.00
17.26,0.00
18.84,0.00
5.66,0.00
1.20,0.00
0.24,94.33
0.22,0.00
0.29,0.00
0.13,0.00
0.43,0.00
0.59,0.00
3.18,0.00
6.39,0.00
7.74,0.00
11.49,0.00
4.90,0.00
0.77,0.00
0.20,0.00
0.12,0.00
0.26,0.00
0.65,0.00
2.00,0.00
3.72,0.00
3.40,0.00
4.44,0.00
8.29,0.00
10.46,0.00
5.33,0.00
0.89,0.00
0.20,0.00
0.11,0.00
0.18,0.00
0.31,0.00
0.89,0.00
2.13,0.00
2.67,0.00
3.89,0.00
6.52,0.00
7.02,0.00
3.90,0.00
0.94,0.00
0.26,94.33
0.17,0.00
0.22,0.00
0.41,0.00
0.65,0.00
0.30,0.00
0.28,0.00
0.66,0.00
1.62,0.00
3.07,0.00
1.78,0.00
0.51,0.00
0.23,0.00
0.15,0.00
0.25,0.00
0.27,0.00
0.47,0.00
0.67,0.00
0.95,0.00
1.65,0.00
2.66,0.00
3.05,0.00
1.60,0.00
0.46,0.00
0.18,0.00
0.13,0.00
0.11,0.00
0.09,0.00
0.14,0.00
0.23,0.00
0.58,0.00
1.80,0.00
4.60,0.00
6.70,0.00
5.41,0.00
1.73,0.00
0.46,0.00
0.24,0.00
0.24,0.00
0.26,0.00
0.39,0.00
0.34,0.00
0.32,0.00
0.35,0.00
1.13,0.00
4.61,0.00
12.91,0.00
13.78,0.00
6.74,0.00
1.82,0.00
1.31,0.00
1.42,0.00
4.63,0.00
12.00,0.00
5.74,0.00
3.27,0.00
10.17,0.00
43.78,0.00
63.27,0.00
58.20,0.00
35.75,0.00
18.39,94.33
34.57,94.33
25.52,0.00
20.46,0.00
28.08,0.00
38.66,0.00
26.54,0.00
29.37,0.00
32.13,188.67
41.72,0.00
44.78,94.33
40.99,94.33
39.48,0.00
41.60,0.00
53.48,0.00
60.11,94.33
58.11,0.00
58.74,188.67
49.18,94.33
51.89,188.67
57.43,0.00
65.38,0.00
83.08,0.00
77.52,94.33
59.65,0.00
52.26,94.33
47.37,94.33
38.14,0.00
36.05,0.00
29.79,0.00
38.79,0.00
32.31,0.00
8.80,0.00
31.17,0.00
27.11,0.00
24.40,0.00
25.49,94.33
26.73,0.00
21.07,0.00
16.01,0.00
16.84,0.00
25.21,0.00
22.30,0.00
16.90,0.00
17.16,0.00
16.14,0.00
5.68,0.00
8.22,0.00
5.24,188.67
15.80,94.33
13.11,0.00
15.41,0.00
25.24,0.00
31.28,0.00
33.42,0.00
30.37,0.00
18.73,0.00
5.31,94.33
1.85,0.00
1.19,0.00
3.72,0.00
5.45,0.00
5.30,0.00
7.12,0.00
6.27,0.00
4.88,0.00
3.61,0.00
5.73,0.00
8.50,0.00
18.60,0.00
21.52,0.00
20.72,0.00
21.14,94.33
22.61,0.00
20.22,0.00
20.72,0.00
30.10,0.00
44.24,0.00
53.97,94.33
20.95,0.00
15.18,0.00
34.62,0.00
42.75,94.33
51.73,0.00
64.06,0.00
82.02,0.00
76.75,94.33
50.96,0.00
60.75,0.00
56.73,0.00
58.40,94.33
76.66,94.33
103.92,0.00
106.51,0.00
27.79,0.00
7.96,0.00
12.88,0.00
102.08,94.33
43.87,94.33
42.35,0.00
43.69,0.00
50.29,0.00
80.92,188.67
87.12,0.00
98.57,94.33
82.16,0.00
72.77,0.00
78.32,94.33
64.24,0.00
69.21,0.00
75.09,94.33
61.20,94.33
59.00,0.00
70.18,0.00
77.16,94.33
82.31,0.00
83.40,0.00
79.52,94.33
59.20,0.00
58.73,94.33
49.47,94.33
53.70,283.00
50.96,0.00
50.58,94.33
61.18,0.00
78.03,0.00
100.72,0.00
74.15,0.00
47.60,0.00
37.10,0.00
40.29,94.33
43.28,94.33
62.68,94.33
100.04,0.00
51.87,0.00
87.86,0.00
85.62,188.67
67.86,0.00
69.33,94.33
72.49,94.33
71.36,94.33
56.70,188.67
51.54,377.33
46.47,283.00
41.53,94.33
43.25,0.00
65.87,0.00
79.66,0.00
93.48,0.00
99.36,0.00
108.59,94.33
47.63,0.00
56.21,0.00
17.86,188.67
26.55,0.00
12.54,0.00
7.35,188.67
3.90,0.00
2.28,0.00
1.63,0.00
6.43,0.00
0.47,0.00
0.25,0.00
25.45,0.00
37.09,94.33
38.13,94.33
5.37,0.00
5.68,0.00
27.74,0.00
3.42,0.00
1.05,0.00
4.61,0.00
0.86,94.33
2.04,0.00
0.92,0.00
3.87,0.00
9.52,0.00
13.43,94.33
2.84,0.00
0.37,0.00
0.26,0.00
2.30,94.33
2.77,0.00
1.10,0.00
0.59,0.00
7.89,0.00
0.83,0.00
8.94,0.00
0.20,0.00
1.56,0.00
0.53,0.00
1.32,0.00
0.19,0.00
0.77,0.00
1.22,0.00
0.11,0.00
0.42,0.00
0.70,0.00
0.57,0.00
0.33,0.00
0.28,0.00
0.92,0.00
0.17,0.00
0.11,0.00
0.10,0.00
0.22,0.00
0.27,0.00
2.87,0.00
0.26,0.00
0.21,0.00
0.25,0.00
0.49,0.00
0.67,0.00
0.44,0.00
0.38,0.00
0.20,0.00
0.15,0.00
0.12,0.00
0.06,0.00
0.09,0.00
0.19,0.00
0.22,0.00
0.24,0.00
0.60,0.00
0.65,0.00
0.36,0.00
0.18,0.00
0.10,0.00
0.08,0.00
0.10,0.00
0.12,0.00
0.19,0.00
0.32,0.00
0.28,0.00
0.32,0.00
0.84,0.00
0.99,0.00
0.65,0.00
0.30,0.00
0.16,0.00
0.13,0.00
0.13,0.00
0.13,94.33
0.11,0.00
0.14,0.00
0.41,0.00
0.75,0.00
0.69,0.00
0.59,0.00
0.28,0.00
0.16,0.00
0.14,0.00
0.17,0.00
0.16,0.00
0.14,0.00
0.23,0.00
0.23,0.00
0.26,0.00
0.47,0.00
0.95,0.00
0.81,0.00
0.57,0.00
0.28,0.00
0.18,0.00
0.18,0.00
0.15,0.00
0.17,0.00
0.17,0.00
0.16,0.00
0.18,0.00
0.35,0.00
0.89,0.00
0.85,0.00
1.75,0.00
1.87,0.00
0.64,0.00
0.34,0.00
0.33,0.00
0.38,0.00
0.28,0.00
0.22,0.00
0.16,0.00
0.25,0.00
0.57,0.00
1.14,0.00
38.68,0.00
76.98,0.00
13.72,0.00
1.35,377.33
88.54,377.33
94.40,94.33
226.75,94.33
216.23,0.00
217.50,283.00
214.21,94.33
213.06,283.00
212.10,283.00
211.91,94.33
216.60,94.33
215.63,0.00
1.63,0.00
2.08,0.00
1.63,0.00
1.04,0.00
3.84,0.00
3.80,0.00
5.37,0.00
10.81,0.00
2.91,0.00
2.47,0.00
3.11,0.00
3.12,0.00
5.75,0.00
10.80,0.00
4.10,0.00
4.47,0.00
3.54,0.00
2.64,0.00
7.13,0.00
8.85,0.00
4.31,0.00
3.02,0.00
3.10,94.33
1.70,0.00
0.75,0.00
3.27,0.00
10.85,94.33
1.34,0.00
0.59,0.00
3.27,0.00
4.75,0.00
4.67,0.00
4.67,0.00
5.07,0.00
4.81,0.00
5.40,0.00
5.72,0.00
9.29,0.00
20.61,0.00
19.77,0.00
18.36,0.00
15.43,0.00
14.10,0.00
2.99,0.00
13.09,0.00
10.68,94.33
13.95,0.00
5.35,0.00
5.24,0.00
2.99,0.00
2.26,283.00
4.75,188.67
3.39,0.00
2.31,94.33
6.51,0.00
5.03,0.00
1.02,188.67
12.12,0.00
3.67,94.33
0.73,94.33
0.33,0.00
2.06,0.00
4.32,0.00
4.12,188.67
19.38,0.00
21.08,0.00
25.07,0.00
4.30,0.00
15.33,0.00
42.55,0.00
44.64,0.00
59.95,0.00
50.09,0.00
59.90,0.00
61.34,0.00
50.01,0.00
50.81,0.00
53.38,0.00
59.88,0.00
65.38,0.00
73.33,0.00
60.00,0.00
26.13,0.00
10.77,0.00
1.27,94.33
23.25,0.00
10.85,0.00
3.94,0.00
0.74,0.00
1.47,0.00
5.48,0.00
8.72,0.00
5.52,0.00
8.23,0.00
17.38,0.00
4.11,0.00
0.10,0.00
0.08,0.00
0.03,0.00
0.45,0.00
0.70,0.00
1.79,0.00
0.21,0.00
0.34,0.00
0.24,0.00
0.98,0.00
0.34,0.00
0.17,0.00
0.23,0.00
0.25,0.00
0.25,0.00
0.16,0.00
11.07,0.00
8.23,0.00
9.51,0.00
8.96,0.00
7.53,0.00
8.79,0.00
9.19,94.33
16.12,0.00
19.12,0.00
15.14,0.00
1.06,0.00
17.58,0.00
19.33,0.00
4.27,0.00
5.85,0.00
8.62,0.00
10.06,0.00
17.56,0.00
29.63,94.33
20.47,0.00
17.30,0.00
18.28,0.00
17.35,0.00
30.79,0.00
34.67,0.00
34.05,0.00
29.56,0.00
30.38,0.00
33.93,0.00
36.43,94.33
29.56,0.00
23.81,0.00
24.18,0.00
30.75,0.00
39.42,0.00
45.42,94.33
36.54,0.00
27.18,0.00
24.48,0.00
26.19,0.00
31.50,94.33
35.69,0.00
37.20,94.33
32.92,0.00
32.75,0.00
36.72,94.33
32.39,0.00
23.22,0.00
24.20,0.00
32.40,0.00
31.16,94.33
17.90,94.33
9.39,0.00
8.19,0.00
8.39,0.00
30.34,0.00
37.61,0.00
35.34,0.00
11.96,0.00
8.39,0.00
1.44,0.00
0.97,0.00
0.68,0.00
0.65,0.00
0.58,0.00
0.50,0.00
0.39,0.00
0.28,0.00
1.00,0.00
5.63,0.00
13.37,0.00
18.53,0.00
22.55,0.00
25.15,0.00
27.94,0.00
33.95,0.00
31.19,0.00
4.71,0.00
1.46,0.00
0.75,0.00
0.48,0.00
0.98,0.00
0.32,0.00
0.54,0.00
4.14,0.00
6.58,0.00
7.68,0.00
0.64,0.00
0.96,0.00
0.12,0.00
0.15,0.00
0.07,0.00
0.11,0.00
0.26,0.00
0.05,0.00
0.07,0.00
0.11,0.00
0.12,0.00
0.20,0.00
0.44,0.00
1.10,0.00
0.78,0.00
0.38,0.00
0.21,0.00
0.16,0.00
0.15,0.00
0.12,0.00
0.15,0.00
0.21,0.00
0.22,0.00
0.29,0.00
0.77,0.00
1.08,0.00
0.72,0.00
0.33,0.00
0.18,0.00
0.15,0.00
0.15,0.00
0.13,0.00
0.16,0.00
0.24,0.00
0.21,0.00
0.29,0.00
0.82,0.00
1.04,0.00
0.68,0.00
0.29,0.00
0.17,0.00
0.14,0.00
0.15,0.00
0.15,0.00
0.16,0.00
0.25,0.00
0.22,0.00
0.34,0.00
0.92,0.00
1.01,0.00
0.65,0.00
0.27,0.00
0.15,0.00
0.13,0.00
0.14,0.00
0.15,0.00
0.17,0.00
0.21,0.00
0.20,0.00
0.37,0.00
0.98,0.00
0.92,0.00
1.03,0.00
0.76,0.00
0.33,0.00
0.27,0.00
0.28,0.00
0.34,0.00
0.48,0.00
0.41,0.00
0.26,0.00
0.38,0.00
0.87,0.00
2.01,0.00
106.19,0.00
127.59,0.00
20.58,0.00
1.42,849.00
140.24,0.00
193.00,0.00
201.78,94.33
208.98,283.00
215.91,188.67
214.99,94.33
212.77,0.00
213.29,94.33
210.09,377.33
125.92,283.00
5.18,0.00
1.62,0.00
1.47,0.00
5.96,0.00
3.16,0.00
3.88,0.00
3.26,0.00
2.12,0.00
7.63,0.00
11.21,0.00
9.65,0.00
1.09,0.00
1.18,0.00
1.79,0.00
2.81,0.00
3.57,0.00
2.65,0.00
3.87,0.00
5.87,0.00
9.61,0.00
5.93,0.00
5.19,0.00
5.83,0.00
5.07,0.00
4.85,0.00
4.21,0.00
4.70,0.00
0.30,0.00
0.22,0.00
7.38,0.00
11.08,0.00
12.55,0.00
7.11,0.00
5.89,0.00
9.33,0.00
9.27,0.00
9.32,0.00
11.45,0.00
1.04,0.00
0.51,0.00
0.14,0.00
0.84,0.00
2.47,0.00
4.01,0.00
8.30,0.00
2.27,0.00
1.95,0.00
4.12,0.00
18.34,94.33
15.33,0.00
11.39,283.00
16.69,94.33
11.53,0.00
15.43,0.00
17.26,94.33
16.77,188.67
16.71,94.33
15.04,0.00
10.73,94.33
1.09,94.33
0.71,0.00
1.39,0.00
5.57,0.00
10.11,0.00
9.37,0.00
13.70,0.00
11.33,0.00
13.63,0.00
16.70,0.00
13.62,0.00
5.93,94.33
4.46,0.00
4.21,0.00
5.64,0.00
9.49,0.00
7.90,0.00
10.34,0.00
28.28,0.00
32.99,0.00
26.41,0.00
22.44,0.00
28.77,0.00
37.91,0.00
23.89,0.00
1.64,0.00
0.09,0.00
0.12,0.00
0.08,0.00
0.09,0.00
0.05,0.00
0.04,0.00
0.04,0.00
0.08,0.00
0.34,0.00
0.42,0.00
0.57,0.00
0.27,0.00
0.10,0.00
0.10,0.00
9.75,0.00
0.07,0.00
0.63,0.00
0.25,0.00
5.11,0.00
1.89,0.00
5.94,0.00
2.76,0.00
2.16,0.00
11.80,0.00
11.94,0.00
11.65,0.00
14.35,0.00
14.04,0.00
14.21,0.00
12.81,0.00
12.29,0.00
13.17,0.00
12.21,0.00
13.64,0.00
16.05,0.00
10.33,0.00
9.82,0.00
9.94,0.00
9.10,0.00
10.38,94.33
16.78,0.00
16.05,94.33
16.35,94.33
15.99,0.00
19.14,0.00
25.90,0.00
24.27,0.00
18.32,94.33
19.89,0.00
22.56,0.00
22.76,0.00
23.14,94.33
25.65,94.33
21.78,0.00
17.49,0.00
20.53,0.00
25.11,0.00
33.25,0.00
40.73,0.00
44.09,0.00
42.69,188.67
27.16,94.33
16.94,0.00
13.58,0.00
15.03,0.00
20.52,0.00
26.10,94.33
28.51,0.00
27.26,94.33
