# #pres-data,#real-data
29.65,0.00
30.73,232.96
30.28,0.00
33.44,93.18
38.95,0.00
38.53,0.00
37.35,0.00
36.61,0.00
32.06,0.00
25.80,0.00
29.77,0.00
25.73,0.00
23.42,0.00
18.04,0.00
21.50,0.00
17.94,0.00
15.94,0.00
17.15,155.31
24.12,108.71
26.07,0.00
22.04,0.00
19.84,93.18
19.76,0.00
21.04,0.00
25.67,0.00
25.11,0.00
21.63,0.00
16.44,0.00
15.39,0.00
8.10,0.00
1.38,0.00
1.01,0.00
0.97,0.00
0.90,0.00
0.88,0.00
0.86,0.00
0.84,0.00
0.82,0.00
0.84,0.00
0.87,0.00
1.93,0.00
1.88,0.00
1.88,0.00
1.86,0.00
1.86,0.00
1.87,0.00
1.86,0.00
1.83,0.00
1.73,0.00
1.44,0.00
1.30,108.71
1.39,0.00
2.20,0.00
2.11,0.00
2.09,0.00
2.05,0.00
2.05,0.00
2.10,0.00
2.13,0.00
1.96,0.00
1.82,0.00
1.66,0.00
1.67,0.00
1.67,0.00
2.29,0.00
2.21,0.00
2.17,0.00
2.11,0.00
2.06,0.00
2.02,0.00
1.98,0.00
1.95,0.00
1.85,0.00
1.57,0.00
1.41,0.00
1.92,0.00
2.47,0.00
2.36,0.00
2.30,0.00
2.22,0.00
2.13,0.00
2.08,0.00
2.05,0.00
2.01,0.00
1.92,0.00
1.66,0.00
1.55,0.00
2.14,0.00
2.62,0.00
2.48,0.00
2.41,0.00
2.28,0.00
2.16,0.00
2.10,0.00
2.07,0.00
2.03,0.00
1.98,0.00
1.79,0.00
1.84,0.00
2.46,0.00
2.70,0.00
2.51,0.00
2.38,0.00
2.24,0.00
2.16,0.00
2.11,0.00
2.07,0.00
2.04,155.31
2.11,0.00
2.12,0.00
2.61,0.00
4.22,93.18
3.78,0.00
2.84,0.00
2.16,0.00
1.84,0.00
1.84,0.00
1.88,0.00
1.94,0.00
2.02,0.00
1.96,0.00
2.07,0.00
3.25,0.00
5.18,0.00
3.68,0.00
2.94,0.00
2.43,0.00
2.11,0.00
1.98,108.71
2.07,0.00
2.16,0.00
2.30,0.00
2.68,0.00
4.83,0.00
17.43,0.00
36.05,0.00
34.12,0.00
32.98,0.00
27.13,217.43
24.21,0.00
18.14,0.00
18.44,93.18
20.65,0.00
28.28,0.00
33.63,108.71
36.78,0.00
37.26,186.37
34.63,0.00
35.32,0.00
40.48,0.00
32.48,0.00
32.72,124.24
30.95,0.00
32.19,0.00
40.49,108.71
37.98,0.00
17.18,0.00
17.12,93.18
17.11,0.00
17.83,0.00
12.67,0.00
12.91,0.00
16.35,0.00
17.97,0.00
14.93,0.00
14.38,0.00
13.35,0.00
12.41,0.00
10.55,0.00
10.47,0.00
13.47,0.00
15.15,0.00
11.45,0.00
14.73,0.00
15.44,0.00
15.30,0.00
14.69,0.00
13.44,0.00
11.54,0.00
9.76,0.00
9.53,0.00
11.53,0.00
15.26,0.00
16.75,0.00
12.33,0.00
16.61,0.00
17.24,0.00
16.91,0.00
15.94,0.00
13.99,0.00
11.47,0.00
9.84,0.00
10.36,0.00
14.39,0.00
20.14,93.18
22.98,0.00
25.34,0.00
27.20,0.00
23.70,0.00
20.05,0.00
14.98,0.00
7.36,0.00
4.28,108.71
4.69,0.00
8.00,155.31
12.69,0.00
17.63,62.12
34.69,0.00
30.47,0.00
20.22,0.00
7.42,0.00
2.89,46.59
2.25,0.00
2.95,0.00
6.88,0.00
4.71,0.00
9.01,0.00
9.70,77.65
13.87,0.00
14.77,0.00
12.79,124.24
22.89,0.00
31.14,77.65
31.46,0.00
29.98,0.00
27.32,0.00
28.08,0.00
29.01,0.00
30.14,77.65
29.70,0.00
35.77,124.24
26.87,0.00
12.90,0.00
26.92,0.00
29.47,0.00
24.37,62.12
27.36,0.00
32.10,0.00
35.11,0.00
38.34,62.12
39.70,62.12
44.73,0.00
51.57,139.78
37.70,77.65
23.22,0.00
34.78,0.00
40.07,0.00
43.34,77.65
42.07,0.00
45.26,0.00
46.61,232.96
47.67,0.00
51.14,0.00
55.35,108.71
61.40,0.00
60.72,0.00
32.36,108.71
45.19,124.24
54.83,201.90
58.30,0.00
60.47,186.37
60.49,0.00
59.47,0.00
51.96,139.78
52.13,62.12
54.80,0.00
56.51,0.00
57.54,0.00
6.26,0.00
27.91,0.00
47.82,0.00
55.47,0.00
54.05,201.90
62.59,62.12
64.53,0.00
64.13,108.71
53.08,0.00
49.47,0.00
58.40,108.71
61.85,0.00
62.08,0.00
