# #pres-data,#real-data
13.61,0.00
35.05,232.96
23.16,0.00
45.00,93.18
28.03,0.00
28.15,0.00
26.72,0.00
27.30,0.00
32.85,0.00
27.82,0.00
11.94,0.00
0.15,0.00
34.87,0.00
0.76,0.00
17.64,0.00
59.76,0.00
2.32,0.00
19.35,155.31
12.58,108.71
10.91,0.00
12.24,0.00
13.65,93.18
15.04,0.00
18.45,0.00
22.21,0.00
13.94,0.00
3.89,0.00
0.34,0.00
0.30,0.00
2.86,0.00
0.38,0.00
0.12,0.00
0.14,0.00
0.12,0.00
0.38,0.00
0.38,0.00
0.34,0.00
0.30,0.00
0.10,0.00
2.42,0.00
0.79,0.00
0.23,0.00
0.32,0.00
0.43,0.00
0.44,0.00
0.38,0.00
0.39,0.00
0.35,0.00
1.79,0.00
3.34,0.00
2.00,108.71
0.82,0.00
1.61,0.00
0.50,0.00
0.52,0.00
0.51,0.00
0.69,0.00
0.67,0.00
0.83,0.00
1.82,0.00
2.12,0.00
0.37,0.00
0.15,0.00
0.93,0.00
1.54,0.00
0.76,0.00
0.95,0.00
1.01,0.00
1.02,0.00
1.04,0.00
1.21,0.00
1.81,0.00
2.74,0.00
3.22,0.00
3.48,0.00
1.27,0.00
1.33,0.00
0.76,0.00
1.15,0.00
1.32,0.00
1.30,0.00
1.37,0.00
1.60,0.00
2.22,0.00
2.81,0.00
3.10,0.00
3.65,0.00
1.43,0.00
0.39,0.00
0.69,0.00
1.18,0.00
1.48,0.00
1.50,0.00
1.67,0.00
1.87,0.00
2.35,0.00
2.84,0.00
3.02,0.00
3.70,0.00
1.47,0.00
0.39,0.00
0.62,0.00
1.10,0.00
1.45,0.00
1.66,0.00
1.85,0.00
2.16,0.00
2.31,155.31
2.60,0.00
2.66,0.00
2.81,0.00
1.11,93.18
11.15,0.00
14.02,0.00
20.55,0.00
1.80,0.00
0.36,0.00
0.34,0.00
0.27,0.00
0.29,0.00
2.54,0.00
1.59,0.00
9.90,0.00
0.62,0.00
13.94,0.00
12.09,0.00
14.58,0.00
15.70,0.00
6.03,108.71
1.80,0.00
1.57,0.00
1.68,0.00
1.41,0.00
2.56,0.00
49.34,0.00
64.76,0.00
70.25,0.00
74.90,0.00
33.12,217.43
49.83,0.00
19.62,0.00
47.24,93.18
57.41,0.00
62.72,0.00
99.67,108.71
53.25,0.00
127.24,186.37
28.60,0.00
0.07,0.00
0.13,0.00
58.25,0.00
6.92,124.24
24.70,0.00
8.73,0.00
60.59,108.71
11.88,0.00
1.29,0.00
1.23,93.18
0.16,0.00
26.16,0.00
16.41,0.00
0.52,0.00
0.16,0.00
30.76,0.00
43.68,0.00
27.94,0.00
1.98,0.00
4.50,0.00
0.21,0.00
0.16,0.00
0.91,0.00
1.83,0.00
6.55,0.00
13.65,0.00
16.24,0.00
17.68,0.00
10.16,0.00
2.37,0.00
1.72,0.00
0.71,0.00
0.38,0.00
1.40,0.00
14.89,0.00
12.82,0.00
3.86,0.00
16.40,0.00
27.03,0.00
33.27,0.00
29.92,0.00
14.27,0.00
4.85,0.00
0.92,0.00
0.40,0.00
34.51,0.00
31.61,93.18
35.95,0.00
62.49,0.00
42.90,0.00
54.79,0.00
44.02,0.00
0.60,0.00
0.15,0.00
0.09,108.71
0.08,0.00
0.08,155.31
0.07,0.00
0.06,62.12
45.81,0.00
70.68,0.00
31.71,0.00
3.98,0.00
0.15,46.59
0.06,0.00
0.05,0.00
0.08,0.00
0.07,0.00
0.12,0.00
0.09,77.65
0.09,0.00
30.22,0.00
11.32,124.24
21.74,0.00
31.97,77.65
36.52,0.00
30.49,0.00
25.65,0.00
24.31,0.00
33.93,0.00
26.17,77.65
0.13,0.00
0.73,124.24
9.91,0.00
28.59,0.00
22.40,0.00
66.99,0.00
25.69,62.12
17.75,0.00
16.10,0.00
19.81,0.00
60.89,62.12
9.30,62.12
10.50,0.00
8.14,139.78
25.57,77.65
17.81,0.00
22.71,0.00
27.27,0.00
68.52,77.65
22.36,0.00
23.00,0.00
61.98,232.96
77.59,0.00
44.59,0.00
28.67,108.71
12.01,0.00
28.72,0.00
23.78,108.71
19.10,124.24
21.13,201.90
36.42,0.00
41.98,186.37
44.22,0.00
61.78,0.00
35.72,139.78
66.66,62.12
94.12,0.00
69.35,0.00
3.66,0.00
0.22,0.00
0.90,0.00
65.42,0.00
33.94,0.00
32.14,201.90
57.11,62.12
84.53,0.00
87.94,108.71
44.31,0.00
44.49,0.00
41.12,108.71
38.46,0.00
136.43,0.00
113.45,0.00
40.87,0.00
2.69,139.78
31.58,232.96
29.54,0.00
30.45,0.00
104.77,139.78
26.17,201.90
19.27,0.00
20.15,124.24
59.82,0.00
48.08,0.00
14.11,0.00
7.72,0.00
31.80,0.00
0.62,0.00
0.10,0.00
0.09,0.00
0.11,0.00
0.66,0.00
16.60,0.00
0.77,0.00
0.30,0.00
9.17,0.00
14.01,0.00
13.65,0.00
10.65,0.00
9.35,108.71
10.04,0.00
21.08,0.00
25.75,0.00
21.49,0.00
21.09,0.00
24.44,0.00
0.20,0.00
0.07,0.00
0.07,0.00
0.06,0.00
0.11,0.00
0.08,0.00
0.48,0.00
0.54,0.00
0.40,0.00
0.32,0.00
0.30,0.00
0.10,0.00
0.59,0.00
0.77,0.00
0.35,0.00
0.32,0.00
0.31,0.00
0.28,0.00
0.27,0.00
0.27,124.24
0.27,0.00
1.17,0.00
1.49,0.00
1.58,0.00
0.26,0.00
1.04,0.00
0.88,0.00
1.58,0.00
2.17,0.00
1.57,0.00
1.69,0.00
0.43,0.00
0.47,0.00
1.96,0.00
1.71,0.00
1.40,0.00
0.22,0.00
1.33,0.00
1.13,0.00
0.82,0.00
0.71,0.00
0.56,77.65
0.49,0.00
0.52,0.00
1.14,0.00
2.38,0.00
1.75,0.00
1.72,0.00
0.66,0.00
1.58,0.00
1.65,0.00
1.46,0.00
0.92,0.00
0.69,0.00
0.76,108.71
1.03,0.00
1.82,0.00
2.56,0.00
2.68,0.00
1.79,0.00
1.02,0.00
1.30,0.00
1.11,0.00
1.08,0.00
1.80,0.00
1.07,0.00
0.50,0.00
1.51,0.00
2.28,0.00
2.67,0.00
2.79,0.00
2.70,0.00
0.90,0.00
1.10,0.00
1.13,0.00
1.48,0.00
1.59,0.00
1.39,0.00
1.37,0.00
1.74,0.00
2.34,0.00
2.63,0.00
2.86,0.00
3.16,0.00
1.05,0.00
1.45,0.00
1.09,0.00
1.24,0.00
1.51,0.00
1.47,0.00
1.38,0.00
1.61,0.00
2.06,0.00
2.24,0.00
2.56,0.00
1.00,0.00
2.56,0.00
6.57,0.00
6.10,0.00
5.84,0.00
2.10,0.00
1.53,0.00
1.33,0.00
1.40,0.00
1.44,0.00
1.24,0.00
1.09,0.00
11.81,0.00
61.61,0.00
58.67,0.00
31.85,0.00
24.66,0.00
39.61,0.00
33.29,77.65
13.29,93.18
9.46,0.00
15.02,0.00
25.96,170.84
16.19,0.00
56.53,139.78
67.83,0.00
36.09,0.00
48.10,0.00
30.15,139.78
40.87,0.00
50.52,0.00
61.70,0.00
0.62,0.00
0.10,0.00
0.15,0.00
9.78,0.00
0.11,77.65
42.56,0.00
14.21,0.00
0.78,0.00
28.03,93.18
1.46,93.18
7.19,62.12
17.53,0.00
11.82,0.00
7.23,0.00
3.37,0.00
0.13,0.00
0.20,0.00
24.10,0.00
8.21,0.00
0.12,0.00
90.19,0.00
0.38,0.00
4.82,0.00
2.32,0.00
3.46,0.00
2.48,0.00
1.87,0.00
0.44,0.00
1.04,0.00
0.57,0.00
10.30,0.00
6.10,108.71
4.90,0.00
7.21,0.00
6.69,0.00
7.49,0.00
4.81,0.00
3.78,0.00
1.70,0.00
4.33,0.00
0.84,0.00
53.56,93.18
0.05,0.00
0.06,0.00
33.10,0.00
35.04,0.00
29.52,0.00
18.59,0.00
4.31,0.00
0.27,0.00
0.10,0.00
0.25,93.18
0.07,0.00
0.09,0.00
47.76,0.00
41.84,0.00
7.01,0.00
3.60,0.00
10.91,0.00
6.01,0.00
0.31,0.00
16.01,0.00
39.05,0.00
0.57,0.00
0.83,0.00
1.81,0.00
0.16,0.00
0.23,0.00
0.63,0.00
3.28,0.00
1.51,0.00
2.57,77.65
14.01,0.00
47.23,0.00
79.94,0.00
67.54,93.18
26.47,0.00
36.17,0.00
22.10,0.00
28.83,108.71
28.29,108.71
26.79,0.00
39.22,0.00
65.95,77.65
50.50,0.00
44.26,279.55
57.78,0.00
67.45,0.00
77.58,0.00
75.82,124.24
6.72,0.00
20.73,46.59
34.61,93.18
60.73,108.71
56.22,0.00
19.57,46.59
7.88,0.00
6.22,124.24
7.76,0.00
11.19,93.18
63.24,108.71
62.45,0.00
16.43,93.18
18.49,0.00
37.87,108.71
65.52,0.00
124.20,0.00
93.05,108.71
88.70,77.65
59.97,0.00
75.13,186.37
69.12,0.00
63.00,0.00
101.74,93.18
37.43,310.61
85.93,0.00
74.76,310.61
71.07,77.65
60.15,124.24
78.17,93.18
71.79,0.00
56.94,0.00
79.48,0.00
101.86,248.49
76.75,341.67
32.68,232.96
27.30,0.00
40.28,0.00
52.79,217.43
44.45,124.24
44.40,0.00
46.12,124.24
31.44,77.65
81.70,201.90
127.48,0.00
39.83,0.00
88.32,0.00
34.86,0.00
1.02,0.00
0.88,0.00
59.22,93.18
0.24,0.00
0.17,124.24
1.57,0.00
4.10,0.00
6.50,93.18
0.36,0.00
0.34,0.00
0.15,0.00
0.09,0.00
0.14,0.00
0.13,139.78
0.18,0.00
19.66,0.00
31.85,0.00
5.38,0.00
0.79,0.00
0.07,0.00
42.80,0.00
66.68,0.00
55.38,0.00
69.02,0.00
0.47,0.00
0.57,0.00
2.15,0.00
1.06,0.00
0.61,0.00
0.77,0.00
0.79,0.00
0.62,0.00
0.50,0.00
0.29,0.00
2.65,0.00
4.42,0.00
3.78,0.00
0.10,0.00
0.14,0.00
0.17,0.00
0.21,0.00
0.26,0.00
0.30,0.00
0.33,0.00
0.39,0.00
0.36,0.00
0.22,0.00
0.14,0.00
3.61,0.00
0.10,0.00
0.15,0.00
0.20,0.00
0.24,0.00
0.27,0.00
0.33,0.00
0.36,0.00
0.38,0.00
0.39,0.00
0.21,0.00
0.14,0.00
3.17,0.00
0.11,0.00
0.15,0.00
0.22,0.00
0.26,0.00
0.30,0.00
0.33,0.00
0.41,0.00
0.41,0.00
0.39,0.00
0.21,0.00
0.14,0.00
0.27,0.00
0.10,0.00
0.18,0.00
0.27,0.00
0.32,0.00
0.36,0.00
0.36,0.00
0.43,0.00
0.46,0.00
0.37,0.00
0.18,0.00
0.22,0.00
0.13,0.00
0.11,0.00
0.24,0.00
0.40,0.00
0.50,0.00
0.47,0.00
0.47,0.00
0.45,0.00
0.52,0.00
0.36,0.00
0.14,0.00
0.27,0.00
0.10,0.00
0.15,0.00
0.32,0.00
0.58,108.71
0.59,0.00
0.60,0.00
0.64,0.00
0.74,0.00
0.42,0.00
0.28,0.00
0.45,77.65
0.14,0.00
0.08,0.00
0.08,0.00
0.09,0.00
0.18,77.65
0.76,0.00
0.90,0.00
0.82,0.00
1.00,0.00
0.81,0.00
77.20,0.00
0.27,0.00
0.14,0.00
0.83,0.00
0.19,0.00
0.13,0.00
0.22,0.00
0.41,0.00
0.41,0.00
0.44,0.00
0.54,0.00
0.42,0.00
71.02,0.00
15.34,0.00
92.66,217.43
253.29,186.37
242.00,372.73
220.03,264.02
222.80,186.37
205.65,232.96
176.00,0.00
172.22,341.67
145.50,155.31
156.44,77.65
162.73,186.37
131.61,481.45
0.25,0.00
71.51,0.00
15.94,77.65
0.21,0.00
0.11,0.00
0.10,0.00
0.13,0.00
0.18,108.71
36.28,0.00
0.09,0.00
0.12,0.00
0.09,0.00
1.70,0.00
1.25,0.00
5.00,0.00
11.84,0.00
3.83,0.00
1.00,0.00
4.52,0.00
3.36,0.00
3.67,0.00
1.23,0.00
1.24,0.00
3.36,108.71
9.01,0.00
12.17,0.00
7.14,0.00
4.32,0.00
2.34,0.00
1.48,0.00
1.54,0.00
0.89,0.00
0.34,0.00
0.11,0.00
0.22,0.00
0.51,0.00
15.21,0.00
23.10,0.00
46.88,108.71
34.04,0.00
20.31,0.00
10.22,0.00
8.35,0.00
8.05,0.00
6.03,0.00
9.65,0.00
11.71,0.00
56.72,0.00
62.07,93.18
76.77,232.96
60.63,170.84
47.30,93.18
44.50,93.18
39.52,108.71
34.14,217.43
38.12,93.18
70.29,0.00
109.38,108.71
82.72,77.65
4.58,0.00
0.54,0.00
0.14,0.00
0.11,0.00
0.11,0.00
0.15,0.00
0.21,0.00
0.18,0.00
0.12,0.00
38.23,0.00
2.22,0.00
9.32,0.00
7.64,0.00
3.95,0.00
1.59,0.00
1.72,0.00
2.76,0.00
3.99,0.00
4.94,0.00
